Category,CS-male,CS-female,CS-nr,CS-male_%,CS-female_%,CE-male,CE-female,CE-nr,CE-male_%,CE-female_%,I-male,I-female,I-nr,I-male_%,I-female_%,Total,Total %
Nonresident Alien,739,169,2,59,65,89,13,0,77,87,29,21,0,34,36,1062,59.4
Amer Indian or Alaska Native,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0.2
Asian,95,28,0,8,11,7,1,0,6,7,18,11,0,21,19,160,8.9
Black or African-American,15,2,0,1,1,2,0,0,2,0,6,2,0,7,3,27,1.5
Native Hawaiian/Pac Islander,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0.2
White,384,57,0,31,22,15,1,0,13,7,27,23,0,32,39,507,28.3
"Multiracial, not Hispanic",4,1,0,0,0,0,0,0,0,0,2,0,0,2,0,7,0.4
"Hispanic, any Race",9,4,0,1,2,2,0,0,2,0,3,1,0,4,2,19,1.1
Total Res & Ethinicity Known,1250,262,2,0,0,16,15,0,,,85,59,0,,,1789,
"Resident, Ethinicity Unknown",67,18,0,,,1,0,0,,,3,1,0,,,90,
Nr,40,10,2,,,2,1,0,,,6,0,0,,,61,
Gender Totals,1357,290,4,,,119,16,0,,,94,60,0,,,1940,
Gender %,82.40%,17.60%,,,,88.10%,11.90%,,,,61.00%,39.00%,,,,,
